,size,method
118,22,susie_blip
119,23,susie_blip
120,23,susie_blip
121,23,susie_blip
122,24,susie_blip
123,24,susie_blip
124,25,susie_blip
125,25,susie_blip
126,25,susie_blip
127,25,susie_blip
128,25,susie_blip
129,25,susie_blip
130,25,susie_blip
131,25,susie_blip
132,25,susie_blip
133,25,susie_blip
134,19,susie_blip
135,4,susie_blip
136,8,susie_blip
137,4,susie_blip
138,3,susie_blip
139,7,susie_blip
140,5,susie_blip
141,19,susie_blip
142,14,susie_blip
143,3,susie_blip
144,17,susie_blip
145,4,susie_blip
146,20,susie_blip
147,15,susie_blip
148,19,susie_blip
149,3,susie_blip
150,14,susie_blip
151,9,susie_blip
152,14,susie_blip
153,16,susie_blip
154,7,susie_blip
155,20,susie_blip
156,11,susie_blip
157,23,susie_blip
158,25,susie_blip
159,17,susie_blip
160,19,susie_blip
161,21,susie_blip
162,5,susie_blip
163,5,susie_blip
164,19,susie_blip
165,25,susie_blip
166,23,susie_blip
167,4,susie_blip
168,13,susie_blip
0,19,susie
1,23,susie
2,4,susie
3,8,susie
4,11,susie
5,22,susie
6,10,susie
7,6,susie
8,7,susie
9,4,susie
10,1,susie
11,15,susie
12,4,susie
13,14,susie
14,2,susie
15,16,susie
16,1,susie
17,2,susie
18,4,susie
19,3,susie
20,7,susie
21,2,susie
22,2,susie
23,5,susie
24,5,susie
25,5,susie
26,12,susie
27,23,susie
28,3,susie
29,19,susie
30,14,susie
31,7,susie
32,5,susie
33,1,susie
34,1,susie
35,2,susie
36,1,susie
37,1,susie
38,4,susie
39,3,susie
40,17,susie
41,5,susie
42,2,susie
43,4,susie
44,20,susie
45,20,susie
46,12,susie
47,14,susie
48,4,susie
49,12,susie
50,15,susie
51,3,susie
52,19,susie
53,1,susie
54,3,susie
55,7,susie
56,10,susie
57,17,susie
58,1,susie
59,3,susie
60,2,susie
61,22,susie
62,1,susie
63,14,susie
64,1,susie
65,3,susie
66,9,susie
67,7,susie
68,3,susie
69,6,susie
70,2,susie
71,21,susie
72,19,susie
73,20,susie
74,8,susie
75,4,susie
76,9,susie
77,14,susie
78,3,susie
79,16,susie
80,11,susie
81,20,susie
82,1,susie
83,15,susie
84,13,susie
85,1,susie
86,3,susie
87,8,susie
88,4,susie
89,19,susie
90,1,susie
91,13,susie
92,9,susie
93,5,susie
94,7,susie
95,20,susie
96,22,susie
97,11,susie
98,1,susie
99,6,susie
100,6,susie
101,23,susie
102,19,susie
103,25,susie
104,6,susie
105,1,susie
106,1,susie
107,1,susie
108,12,susie
109,21,susie
110,20,susie
111,9,susie
112,1,susie
113,15,susie
114,19,susie
115,2,susie
116,2,susie
117,1,susie
118,2,susie
119,2,susie
120,9,susie
121,17,susie
122,15,susie
123,19,susie
124,12,susie
125,1,susie
126,21,susie
127,5,susie
128,6,susie
129,4,susie
130,5,susie
131,13,susie
132,1,susie
133,2,susie
134,1,susie
135,10,susie
136,1,susie
137,19,susie
138,1,susie
139,16,susie
140,1,susie
141,2,susie
142,6,susie
143,25,susie
144,23,susie
145,4,susie
146,5,susie
147,21,susie
148,1,susie
149,13,susie
150,12,susie
151,15,susie
0,1,susie-indiv-only
1,1,susie-indiv-only
2,1,susie-indiv-only
3,1,susie-indiv-only
4,1,susie-indiv-only
5,1,susie-indiv-only
6,1,susie-indiv-only
7,1,susie-indiv-only
8,1,susie-indiv-only
9,1,susie-indiv-only
10,1,susie-indiv-only
11,1,susie-indiv-only
12,1,susie-indiv-only
13,1,susie-indiv-only
14,1,susie-indiv-only
15,1,susie-indiv-only
16,1,susie-indiv-only
17,1,susie-indiv-only
18,1,susie-indiv-only
19,1,susie-indiv-only
20,1,susie-indiv-only
21,1,susie-indiv-only
22,1,susie-indiv-only
23,1,susie-indiv-only
24,1,susie-indiv-only
25,1,susie-indiv-only
26,1,susie-indiv-only
27,1,susie-indiv-only
28,1,susie-indiv-only
29,1,susie-indiv-only
30,1,susie-indiv-only
31,1,susie-indiv-only
32,1,susie-indiv-only
33,1,susie-indiv-only
34,1,susie-indiv-only
35,1,susie-indiv-only
36,1,susie-indiv-only
37,1,susie-indiv-only
38,1,susie-indiv-only
39,1,susie-indiv-only
40,1,susie-indiv-only
0,1,susie_blip
1,1,susie_blip
2,1,susie_blip
3,2,susie_blip
4,1,susie_blip
5,1,susie_blip
6,2,susie_blip
7,20,susie_blip
8,1,susie_blip
9,2,susie_blip
10,5,susie_blip
11,1,susie_blip
12,1,susie_blip
13,1,susie_blip
14,2,susie_blip
15,17,susie_blip
16,14,susie_blip
17,1,susie_blip
18,7,susie_blip
19,1,susie_blip
20,1,susie_blip
21,7,susie_blip
22,1,susie_blip
23,1,susie_blip
24,17,susie_blip
25,18,susie_blip
26,22,susie_blip
27,3,susie_blip
28,1,susie_blip
29,14,susie_blip
30,25,susie_blip
31,9,susie_blip
32,9,susie_blip
33,11,susie_blip
34,10,susie_blip
35,20,susie_blip
36,12,susie_blip
37,2,susie_blip
38,1,susie_blip
39,15,susie_blip
40,10,susie_blip
41,1,susie_blip
42,22,susie_blip
43,1,susie_blip
44,23,susie_blip
45,6,susie_blip
46,12,susie_blip
47,2,susie_blip
48,4,susie_blip
49,1,susie_blip
50,3,susie_blip
51,7,susie_blip
52,11,susie_blip
53,9,susie_blip
54,13,susie_blip
55,5,susie_blip
56,25,susie_blip
57,18,susie_blip
58,1,susie_blip
59,24,susie_blip
60,25,susie_blip
61,21,susie_blip
62,12,susie_blip
63,6,susie_blip
64,9,susie_blip
65,21,susie_blip
66,8,susie_blip
67,23,susie_blip
68,24,susie_blip
69,8,susie_blip
70,1,susie_blip
71,7,susie_blip
72,1,susie_blip
73,1,susie_blip
74,9,susie_blip
75,1,susie_blip
76,5,susie_blip
77,25,susie_blip
78,25,susie_blip
79,3,susie_blip
80,23,susie_blip
81,4,susie_blip
82,17,susie_blip
83,15,susie_blip
84,25,susie_blip
85,1,susie_blip
86,12,susie_blip
87,4,susie_blip
88,1,susie_blip
89,7,susie_blip
90,1,susie_blip
91,5,susie_blip
92,1,susie_blip
93,4,susie_blip
94,1,susie_blip
95,2,susie_blip
96,1,susie_blip
97,1,susie_blip
98,1,susie_blip
99,1,susie_blip
100,2,susie_blip
101,2,susie_blip
102,14,susie_blip
0,1,susie
1,10,susie
2,19,susie
3,9,susie
4,8,susie
5,6,susie
6,23,susie
7,2,susie
8,25,susie
9,2,susie
10,1,susie
11,1,susie
12,12,susie
13,9,susie
14,1,susie
15,1,susie
16,1,susie
17,5,susie
18,2,susie
19,2,susie
20,22,susie
21,14,susie
22,1,susie
23,13,susie
24,1,susie
25,1,susie
26,24,susie
27,1,susie
28,9,susie
29,2,susie
30,7,susie
31,13,susie
32,1,susie
33,11,susie
34,5,susie
35,1,susie
36,15,susie
37,9,susie
38,18,susie
39,21,susie
40,3,susie
41,8,susie
42,9,susie
43,2,susie
44,12,susie
45,5,susie
46,14,susie
47,3,susie
48,5,susie
49,1,susie
50,18,susie
51,24,susie
52,1,susie
53,9,susie
54,3,susie
55,7,susie
56,7,susie
57,15,susie
58,11,susie
59,1,susie
60,1,susie
61,9,susie
62,1,susie
63,6,susie
64,2,susie
65,2,susie
66,23,susie
67,1,susie
68,2,susie
69,5,susie
70,4,susie
71,2,susie
72,2,susie
73,1,susie
74,12,susie
75,3,susie
76,18,susie
77,6,susie
78,16,susie
79,3,susie
80,1,susie
81,8,susie
82,21,susie
83,9,susie
84,7,susie
0,1,susie-indiv-only
1,1,susie-indiv-only
2,1,susie-indiv-only
3,1,susie-indiv-only
4,1,susie-indiv-only
5,1,susie-indiv-only
6,1,susie-indiv-only
7,1,susie-indiv-only
8,1,susie-indiv-only
9,1,susie-indiv-only
10,1,susie-indiv-only
11,1,susie-indiv-only
12,1,susie-indiv-only
13,1,susie-indiv-only
14,1,susie-indiv-only
15,1,susie-indiv-only
16,1,susie-indiv-only
17,1,susie-indiv-only
18,1,susie-indiv-only
19,1,susie-indiv-only
20,1,susie-indiv-only
21,1,susie-indiv-only
22,1,susie-indiv-only
23,1,susie-indiv-only
24,1,susie-indiv-only
25,1,susie-indiv-only
26,1,susie-indiv-only
27,1,susie-indiv-only
28,1,susie-indiv-only
29,1,susie-indiv-only
30,1,susie-indiv-only
0,21,susie_blip
1,1,susie_blip
2,2,susie_blip
3,5,susie_blip
4,1,susie_blip
5,1,susie_blip
6,1,susie_blip
7,3,susie_blip
8,9,susie_blip
9,3,susie_blip
10,1,susie_blip
11,2,susie_blip
12,1,susie_blip
13,1,susie_blip
14,1,susie_blip
15,1,susie_blip
16,1,susie_blip
17,8,susie_blip
18,1,susie_blip
19,4,susie_blip
20,4,susie_blip
21,1,susie_blip
22,1,susie_blip
23,1,susie_blip
24,1,susie_blip
25,7,susie_blip
26,25,susie_blip
27,13,susie_blip
28,1,susie_blip
29,7,susie_blip
30,19,susie_blip
31,17,susie_blip
32,16,susie_blip
33,16,susie_blip
34,21,susie_blip
35,1,susie_blip
36,25,susie_blip
37,6,susie_blip
38,25,susie_blip
39,1,susie_blip
40,21,susie_blip
41,11,susie_blip
42,18,susie_blip
43,2,susie_blip
44,2,susie_blip
45,4,susie_blip
46,25,susie_blip
47,1,susie_blip
48,24,susie_blip
49,2,susie_blip
50,6,susie_blip
51,15,susie_blip
52,3,susie_blip
53,9,susie_blip
54,8,susie_blip
55,1,susie_blip
56,8,susie_blip
57,13,susie_blip
58,25,susie_blip
59,25,susie_blip
60,4,susie_blip
61,1,susie_blip
62,25,susie_blip
63,2,susie_blip
64,5,susie_blip
65,21,susie_blip
66,1,susie_blip
67,1,susie_blip
68,11,susie_blip
69,12,susie_blip
70,1,susie_blip
71,1,susie_blip
72,5,susie_blip
73,5,susie_blip
74,1,susie_blip
75,1,susie_blip
76,2,susie_blip
77,4,susie_blip
78,10,susie_blip
0,1,susie
1,1,susie
2,1,susie
3,1,susie
4,3,susie
5,5,susie
6,17,susie
7,1,susie
8,1,susie
9,1,susie
10,15,susie
11,6,susie
12,23,susie
13,2,susie
14,2,susie
15,1,susie
16,1,susie
17,1,susie
18,4,susie
19,1,susie
20,7,susie
21,23,susie
22,19,susie
23,20,susie
24,11,susie
25,2,susie
26,25,susie
27,3,susie
28,12,susie
29,14,susie
30,8,susie
31,2,susie
32,2,susie
33,24,susie
34,8,susie
35,4,susie
36,1,susie
37,1,susie
38,12,susie
39,2,susie
40,1,susie
41,6,susie
42,4,susie
43,1,susie
44,17,susie
45,14,susie
46,1,susie
47,1,susie
48,6,susie
49,9,susie
50,9,susie
51,16,susie
52,5,susie
53,1,susie
54,3,susie
55,2,susie
56,4,susie
57,5,susie
58,18,susie
59,1,susie
0,1,susie-indiv-only
1,1,susie-indiv-only
2,1,susie-indiv-only
3,1,susie-indiv-only
4,1,susie-indiv-only
5,1,susie-indiv-only
6,1,susie-indiv-only
7,1,susie-indiv-only
8,1,susie-indiv-only
9,1,susie-indiv-only
10,1,susie-indiv-only
11,1,susie-indiv-only
12,1,susie-indiv-only
13,1,susie-indiv-only
14,1,susie-indiv-only
15,1,susie-indiv-only
16,1,susie-indiv-only
17,1,susie-indiv-only
18,1,susie-indiv-only
19,1,susie-indiv-only
20,1,susie-indiv-only
21,1,susie-indiv-only
22,1,susie-indiv-only
23,1,susie-indiv-only
24,1,susie-indiv-only
25,1,susie-indiv-only
0,1,susie_blip
1,13,susie_blip
2,1,susie_blip
3,1,susie_blip
4,1,susie_blip
5,1,susie_blip
6,1,susie_blip
7,1,susie_blip
8,1,susie_blip
9,1,susie_blip
10,2,susie_blip
11,15,susie_blip
12,18,susie_blip
13,1,susie_blip
14,1,susie_blip
15,12,susie_blip
16,1,susie_blip
17,1,susie_blip
18,1,susie_blip
19,9,susie_blip
20,1,susie_blip
21,2,susie_blip
22,7,susie_blip
23,1,susie_blip
24,1,susie_blip
25,1,susie_blip
26,1,susie_blip
27,12,susie_blip
28,1,susie_blip
29,1,susie_blip
30,3,susie_blip
31,18,susie_blip
32,4,susie_blip
33,1,susie_blip
34,19,susie_blip
35,20,susie_blip
36,1,susie_blip
37,19,susie_blip
38,8,susie_blip
39,17,susie_blip
40,9,susie_blip
41,20,susie_blip
42,1,susie_blip
43,12,susie_blip
44,4,susie_blip
45,8,susie_blip
46,22,susie_blip
47,14,susie_blip
48,19,susie_blip
49,17,susie_blip
50,10,susie_blip
51,25,susie_blip
52,25,susie_blip
53,25,susie_blip
54,12,susie_blip
55,20,susie_blip
56,20,susie_blip
57,19,susie_blip
58,2,susie_blip
59,7,susie_blip
60,4,susie_blip
61,11,susie_blip
62,18,susie_blip
63,10,susie_blip
64,23,susie_blip
65,25,susie_blip
66,3,susie_blip
67,2,susie_blip
68,24,susie_blip
69,21,susie_blip
70,10,susie_blip
71,19,susie_blip
72,1,susie_blip
73,8,susie_blip
74,2,susie_blip
75,1,susie_blip
76,24,susie_blip
77,12,susie_blip
78,10,susie_blip
79,15,susie_blip
80,8,susie_blip
81,8,susie_blip
82,1,susie_blip
83,2,susie_blip
84,1,susie_blip
85,15,susie_blip
86,25,susie_blip
87,2,susie_blip
88,2,susie_blip
89,9,susie_blip
90,23,susie_blip
91,24,susie_blip
92,25,susie_blip
93,3,susie_blip
94,1,susie_blip
95,10,susie_blip
96,2,susie_blip
97,1,susie_blip
98,1,susie_blip
99,4,susie_blip
100,3,susie_blip
101,1,susie_blip
102,2,susie_blip
103,1,susie_blip
104,1,susie_blip
105,1,susie_blip
106,3,susie_blip
107,24,susie_blip
0,2,susie
1,4,susie
2,5,susie
3,12,susie
4,1,susie
5,1,susie
6,1,susie
7,8,susie
8,25,susie
9,7,susie
10,11,susie
11,1,susie
12,24,susie
13,1,susie
14,2,susie
15,14,susie
16,19,susie
17,8,susie
18,17,susie
19,17,susie
20,24,susie
21,1,susie
22,2,susie
23,19,susie
24,12,susie
25,1,susie
26,16,susie
27,4,susie
28,18,susie
29,1,susie
30,3,susie
31,7,susie
32,10,susie
33,1,susie
34,1,susie
35,18,susie
36,1,susie
37,3,susie
38,2,susie
39,2,susie
40,4,susie
41,23,susie
42,1,susie
43,3,susie
44,25,susie
45,17,susie
46,14,susie
47,19,susie
48,2,susie
49,1,susie
50,8,susie
51,7,susie
52,7,susie
53,1,susie
54,1,susie
55,5,susie
56,3,susie
57,1,susie
58,11,susie
59,22,susie
60,23,susie
61,13,susie
62,11,susie
63,10,susie
64,25,susie
65,17,susie
66,3,susie
67,2,susie
68,1,susie
69,25,susie
70,1,susie
71,1,susie
72,24,susie
73,2,susie
74,1,susie
75,1,susie
76,16,susie
77,19,susie
78,9,susie
79,1,susie
80,2,susie
81,1,susie
82,11,susie
83,20,susie
84,3,susie
85,1,susie
86,4,susie
87,12,susie
88,21,susie
89,12,susie
0,1,susie-indiv-only
1,1,susie-indiv-only
2,1,susie-indiv-only
3,1,susie-indiv-only
4,1,susie-indiv-only
5,1,susie-indiv-only
6,1,susie-indiv-only
7,1,susie-indiv-only
8,1,susie-indiv-only
9,1,susie-indiv-only
10,1,susie-indiv-only
11,1,susie-indiv-only
12,1,susie-indiv-only
13,1,susie-indiv-only
14,1,susie-indiv-only
15,1,susie-indiv-only
16,1,susie-indiv-only
17,1,susie-indiv-only
18,1,susie-indiv-only
19,1,susie-indiv-only
20,1,susie-indiv-only
21,1,susie-indiv-only
22,1,susie-indiv-only
23,1,susie-indiv-only
24,1,susie-indiv-only
25,1,susie-indiv-only
26,1,susie-indiv-only
27,1,susie-indiv-only
28,1,susie-indiv-only
29,1,susie-indiv-only
30,1,susie-indiv-only
31,1,susie-indiv-only
32,1,susie-indiv-only
33,1,susie-indiv-only
0,1,susie_blip
1,1,susie_blip
2,24,susie_blip
3,1,susie_blip
4,1,susie_blip
5,4,susie_blip
6,1,susie_blip
7,1,susie_blip
8,1,susie_blip
9,1,susie_blip
10,1,susie_blip
11,1,susie_blip
12,2,susie_blip
13,9,susie_blip
14,1,susie_blip
15,2,susie_blip
16,5,susie_blip
17,9,susie_blip
18,1,susie_blip
19,4,susie_blip
20,3,susie_blip
21,1,susie_blip
22,1,susie_blip
23,1,susie_blip
24,1,susie_blip
25,11,susie_blip
26,1,susie_blip
27,3,susie_blip
28,1,susie_blip
29,1,susie_blip
30,4,susie_blip
31,5,susie_blip
32,1,susie_blip
33,16,susie_blip
34,1,susie_blip
35,10,susie_blip
36,14,susie_blip
37,18,susie_blip
38,22,susie_blip
39,12,susie_blip
40,15,susie_blip
41,1,susie_blip
42,11,susie_blip
43,10,susie_blip
44,10,susie_blip
45,2,susie_blip
46,2,susie_blip
47,12,susie_blip
48,8,susie_blip
49,1,susie_blip
50,16,susie_blip
51,1,susie_blip
52,4,susie_blip
53,1,susie_blip
54,5,susie_blip
55,1,susie_blip
56,2,susie_blip
57,18,susie_blip
58,1,susie_blip
59,3,susie_blip
60,8,susie_blip
61,14,susie_blip
62,6,susie_blip
63,1,susie_blip
64,12,susie_blip
65,11,susie_blip
66,8,susie_blip
67,13,susie_blip
68,25,susie_blip
69,20,susie_blip
70,14,susie_blip
71,21,susie_blip
72,17,susie_blip
73,5,susie_blip
74,25,susie_blip
75,16,susie_blip
76,25,susie_blip
77,1,susie_blip
78,25,susie_blip
79,4,susie_blip
80,9,susie_blip
81,10,susie_blip
82,4,susie_blip
83,8,susie_blip
84,1,susie_blip
85,4,susie_blip
86,2,susie_blip
87,3,susie_blip
88,4,susie_blip
89,1,susie_blip
90,25,susie_blip
91,1,susie_blip
92,24,susie_blip
93,5,susie_blip
94,2,susie_blip
95,1,susie_blip
96,1,susie_blip
97,1,susie_blip
98,1,susie_blip
99,3,susie_blip
100,1,susie_blip
101,1,susie_blip
102,2,susie_blip
103,4,susie_blip
104,4,susie_blip
105,2,susie_blip
106,3,susie_blip
107,1,susie_blip
108,3,susie_blip
109,5,susie_blip
110,1,susie_blip
111,2,susie_blip
112,2,susie_blip
113,18,susie_blip
0,7,susie
1,8,susie
2,13,susie
3,20,susie
4,4,susie
5,11,susie
6,1,susie
7,16,susie
8,12,susie
9,9,susie
10,1,susie
11,1,susie
12,7,susie
13,17,susie
14,2,susie
15,10,susie
16,4,susie
17,5,susie
18,8,susie
19,25,susie
20,2,susie
21,1,susie
22,1,susie
23,2,susie
24,1,susie
25,1,susie
26,2,susie
27,1,susie
28,2,susie
29,4,susie
30,22,susie
31,3,susie
32,5,susie
33,10,susie
34,1,susie
35,2,susie
36,1,susie
37,1,susie
38,1,susie
39,1,susie
40,2,susie
41,1,susie
42,1,susie
43,8,susie
44,14,susie
45,1,susie
46,1,susie
47,1,susie
48,2,susie
49,2,susie
50,4,susie
51,9,susie
52,2,susie
53,12,susie
54,12,susie
55,15,susie
56,13,susie
57,3,susie
58,14,susie
59,21,susie
60,4,susie
61,4,susie
62,5,susie
63,8,susie
64,1,susie
65,21,susie
66,9,susie
67,17,susie
68,1,susie
69,1,susie
70,4,susie
71,10,susie
72,1,susie
73,23,susie
74,12,susie
75,11,susie
76,7,susie
77,6,susie
78,13,susie
79,5,susie
80,5,susie
81,1,susie
82,14,susie
83,13,susie
84,1,susie
85,1,susie
86,5,susie
87,8,susie
88,21,susie
89,8,susie
90,23,susie
91,18,susie
92,8,susie
93,1,susie
94,1,susie
95,7,susie
96,7,susie
97,5,susie
98,3,susie
99,1,susie
100,3,susie
0,1,susie-indiv-only
1,1,susie-indiv-only
2,1,susie-indiv-only
3,1,susie-indiv-only
4,1,susie-indiv-only
5,1,susie-indiv-only
6,1,susie-indiv-only
7,1,susie-indiv-only
8,1,susie-indiv-only
9,1,susie-indiv-only
10,1,susie-indiv-only
11,1,susie-indiv-only
12,1,susie-indiv-only
13,1,susie-indiv-only
14,1,susie-indiv-only
15,1,susie-indiv-only
16,1,susie-indiv-only
17,1,susie-indiv-only
18,1,susie-indiv-only
19,1,susie-indiv-only
20,1,susie-indiv-only
21,1,susie-indiv-only
22,1,susie-indiv-only
23,1,susie-indiv-only
24,1,susie-indiv-only
25,1,susie-indiv-only
26,1,susie-indiv-only
27,1,susie-indiv-only
28,1,susie-indiv-only
